Total,Sport,Age,Height,Weight,Sex,HWbmi
0,Basketball,27,210,117,M,26.53061224
0,Cycling - Road,24,161,55,F,21.21831719
0,Tennis,31,180,65,F,20.0617284
0,Basketball,35,176,66,F,21.30681818
0,Tennis,26,193,80,M,21.47708663
0,Cycling - Road,25,190,80,M,22.16066482
0,Tennis,33,186,79,M,22.83500983
0,Cycling - Road,29,165,56,F,20.56932966
0,Cycling - Road,32,172,68,M,22.98539751
0,Basketball,23,194,89,F,23.64757147
0,Tennis,28,172,68,F,22.98539751
0,Tennis,36,170,62,F,21.4532872
0,Tennis,23,162,62,F,23.62444749
0,Basketball,32,202,98,M,24.01725321
0,Basketball,26,206,95,M,22.38665284
0,Cycling - Road,37,168,52,F,18.42403628
0,Basketball,25,193,84,F,22.55094096
0,Cycling - Road,27,178,68,M,21.46193662
0,Cycling - Road,24,170,61,M,21.10726644
0,Tennis,20,170,61,F,21.10726644
0,Basketball,26,188,77,F,21.78587596
0,Tennis,26,170,55,F,19.03114187
0,Cycling - Road,32,180,74,M,22.83950617
0,Basketball,25,180,75,F,23.14814815
0,Cycling - Road,38,159,59,F,23.33768443
0,Tennis,27,192,90,M,24.4140625
0,Cycling - Road,23,188,71,M,20.08827524
0,Cycling - Road,28,185,74,M,21.62162162
0,Cycling - Road,37,164,63,F,23.42355741
0,Basketball,29,178,64,F,20.19946976
0,Basketball,29,192,82,F,22.24392361
0,Basketball,27,206,114,M,26.86398341
0,Cycling - Road,34,170,62,F,21.4532872
0,Tennis,27,188,91,M,25.74694432
0,Tennis,21,165,62,F,22.77318641
0,Cycling - Road,29,173,60,M,20.04744562
0,Basketball,30,186,84,M,24.28026361
0,Tennis,27,178,73,M,23.0400202
1,Cycling - Road,25,173,62,M,20.71569381
0,Basketball,20,213,111,M,24.4660451
0,Cycling - Road,32,176,62,M,20.01549587
0,Cycling - Road,27,181,72,M,21.97735112
0,Cycling - Road,30,167,45,F,16.13539388
0,Cycling - Road,23,185,70,M,20.45288532
0,Cycling - Road,29,168,62,F,21.96712018
0,Cycling - Road,28,199,84,M,21.21158557
0,Basketball,29,175,66,F,21.55102041
0,Basketball,28,175,60,F,19.59183673
0,Tennis,25,,,M,
0,Basketball,29,208,115,M,26.58099112
0,Cycling - Road,31,178,66,M,20.83070319
0,Cycling - Road,30,180,81,M,25
0,Tennis,28,188,81,M,22.91760978
0,Basketball,28,194,86,F,22.85046232
0,Tennis,26,180,65,F,20.0617284
0,Basketball,33,177,69,F,22.02432251
0,Basketball,28,207,102,M,23.80452286
0,Basketball,23,198,85,F,21.68146108
0,Cycling - Road,27,165,85,F,31.22130395
0,Tennis,29,164,58,F,21.56454491
1,Cycling - Road,38,176,69,M,22.27530992
0,Basketball,30,190,80,F,22.16066482
0,Basketball,31,188,76,F,21.50294251
0,Tennis,22,165,63,F,23.14049587
0,Basketball,26,194,95,M,25.24178978
1,Cycling - Road,25,169,52,F,18.20664543
0,Tennis,27,184,70,F,20.6758034
0,Basketball,22,196,80,F,20.82465639
0,Basketball,23,175,65,F,21.2244898
0,Basketball,29,198,90,M,22.95684114
0,Basketball,33,215,110,M,23.79664684
0,Tennis,20,168,64,F,22.67573696
0,Tennis,27,183,79,M,23.58983547
0,Basketball,22,207,90,F,21.00399076
0,Basketball,23,191,85,M,23.2997999
0,Cycling - Road,29,185,71,M,20.74506939
0,Basketball,30,175,73,F,23.83673469
0,Tennis,22,182,72,F,21.73650525
0,Basketball,28,191,95,M,26.04095282
0,Tennis,30,178,73,F,23.0400202
0,Tennis,32,185,75,F,21.9138057
0,Cycling - Road,30,160,50,F,19.53125
0,Basketball,29,203,107,M,25.96520178
0,Tennis,22,179,65,F,20.28650791
0,Tennis,24,175,63,F,20.57142857
0,Basketball,25,195,90,F,23.66863905
0,Basketball,26,190,100,F,27.70083102
0,Basketball,24,212,113,M,25.14239943
0,Basketball,24,203,86,M,20.8692276
0,Basketball,32,194,85,F,22.58475927
0,Tennis,23,183,75,M,22.39541342
0,Tennis,30,183,78,M,23.29122996
0,Basketball,29,186,92,F,26.59266967
2,Cycling - Road,32,175,61,F,19.91836735
0,Tennis,30,166,55,F,19.95935549
0,Cycling - Road,31,173,63,M,21.0498179
0,Cycling - Road,32,180,67,M,20.67901235
0,Basketball,27,187,75,F,21.44756785
0,Tennis,23,177,66,F,21.06674327
0,Tennis,36,190,84,M,23.26869806
0,Basketball,27,179,63,F,19.66230767
0,Basketball,25,186,74,F,21.38975604
0,Tennis,27,172,59,F,19.94321255
0,Basketball,24,221,110,M,22.52206138
